trade_time,buy_coin,amount,dollar_user_value,price,live,twitter_id,twitter_screen_name,twitter_status_text,tweet_type,dollar_buy_value,bot_name,type,trade_timestamp,buy_timestamp,hold_coin,dollar_fee,hold_pnl,dollar_pnl,percent_pnl,status_id,exchange,platform
2021-10-26 09:53:59,FTM,15,50,3.4363,0,944686196331966464,HsakaTrades,"L1 2.0™ szn https://t.co/B09chLWlaE

@HsakaTrades: SOL --&gt; LUNA --&gt; AVAX SoLunAvax",,,,,,,,,,,,,,
FTM --&gt; ONE --&gt; NEAR --&gt; SCRT,,,,,,,,,,,,,,,,,,,,,,
FantOnEaRet,,,,,,,,,,,,,,,,,,,,,,
Intra basket rotations,,,,,,,,,,,,,,,,,,,,,,
Inter basket rotation,,,,,,,,,,,,,,,,,,,,,,
L1 1.0,,,,,,,,,,,,,,,,,,,,,,
L1 2.0,,,,,,,,,,,,,,,,,,,,,,
Haiku,,,,,,,,,,,,,,,,,,,,,,
More Days to go until #Avalanche Autumn Begins!,,,,,,,,,,,,,,,,,,,,,,
#AvalancheRush,,,,,,,,,,,,,,,,,,,,,,
$AVAX 🔺,,,,,,,,,,,,,,,,,,,,,,
"https://t.co/SiFXKDhIzi""""",1005.85,lazy_trade_beta_bot,buy,1631709618515045,,USDT,0.362183,,,,1438119401216098306,binance_f,,,,,,,,,,
2021-09-15 12:30:54,BTC,0.04201,2000,47604,1,,,,,1999.71,lazy_trade_beta_bot,sell,1631709054475407,1631708975353768,USDT,1.49988,-2.86497,-2.86497,-0.132135,,binance,
2021-09-15 12:29:35,BTC,0.04201,2000,47600.9,1,,,,,1999.71,lazy_trade_beta_bot,buy,1631708975353768,,USDT,1.4998,,,,,binance,
2021-09-15 12:28:52,BTC,0.06301,3000,47607.7,1,,,,,2999.76,lazy_trade_beta_bot,buy,1631708932122279,,USDT,2.24805,,,,,binance,
2021-09-15 12:28:09,KSM,2.429,1000,415.6,1,,,,,999.44,lazy_trade_beta_bot,sell,1631708889781680,1631705445881959,USDT,0.757116,8.540339999999999,8.540339999999999,0.85324,0.0,binance,
2021-09-15 12:28:07,FTT,14.32,1000,71.02,1,,,,,998.963,lazy_trade_beta_bot,sell,1631708887366153,1631694271657194,USDT,0.76275,16.521,16.521,1.65235,0.0,binance,
2021-09-15 12:28:04,ETH,0.2941,1000,3432.72,1,,,,,1000.39,lazy_trade_beta_bot,sell,1631708884455793,1631672196434998,USDT,0.757165,7.635789999999999,7.635789999999999,0.758087,,binance,
